,precision,recall,f1-score,support
information--pedestrians-crossing--g1,0.9,0.8571428571428571,0.8780487804878049,21.0
other-sign,0.8333333333333334,0.9183673469387755,0.8737864077669902,49.0
regulatory--no-entry--g1,0.9375,0.8823529411764706,0.9090909090909091,17.0
regulatory--stop--g1,0.9230769230769231,0.8,0.8571428571428571,15.0
regulatory--yield--g1,1.0,0.9411764705882353,0.9696969696969697,17.0
accuracy,0.8907563025210085,0.8907563025210085,0.8907563025210085,0.8907563025210085
macro avg,0.9187820512820514,0.8798079231692677,0.8975531848371062,119.0
weighted avg,0.8951007326007326,0.8907563025210085,0.8911856736753211,119.0
